analysis,n_per_group,replicate,swap_num,file
subsample,45,1,0,figure1_inputs\subsamples\subsample_n45_rep01.csv
subsample,5,1,0,figure1_inputs\subsamples\subsample_n5_rep01.csv
subsample,5,2,0,figure1_inputs\subsamples\subsample_n5_rep02.csv
subsample,5,3,0,figure1_inputs\subsamples\subsample_n5_rep03.csv
subsample,5,4,0,figure1_inputs\subsamples\subsample_n5_rep04.csv
subsample,5,5,0,figure1_inputs\subsamples\subsample_n5_rep05.csv
subsample,5,6,0,figure1_inputs\subsamples\subsample_n5_rep06.csv
subsample,5,7,0,figure1_inputs\subsamples\subsample_n5_rep07.csv
subsample,5,8,0,figure1_inputs\subsamples\subsample_n5_rep08.csv
subsample,5,9,0,figure1_inputs\subsamples\subsample_n5_rep09.csv
subsample,5,10,0,figure1_inputs\subsamples\subsample_n5_rep10.csv
subsample,5,11,0,figure1_inputs\subsamples\subsample_n5_rep11.csv
subsample,5,12,0,figure1_inputs\subsamples\subsample_n5_rep12.csv
subsample,5,13,0,figure1_inputs\subsamples\subsample_n5_rep13.csv
subsample,5,14,0,figure1_inputs\subsamples\subsample_n5_rep14.csv
subsample,5,15,0,figure1_inputs\subsamples\subsample_n5_rep15.csv
subsample,5,16,0,figure1_inputs\subsamples\subsample_n5_rep16.csv
subsample,5,17,0,figure1_inputs\subsamples\subsample_n5_rep17.csv
subsample,5,18,0,figure1_inputs\subsamples\subsample_n5_rep18.csv
subsample,5,19,0,figure1_inputs\subsamples\subsample_n5_rep19.csv
subsample,5,20,0,figure1_inputs\subsamples\subsample_n5_rep20.csv
subsample,10,1,0,figure1_inputs\subsamples\subsample_n10_rep01.csv
subsample,10,2,0,figure1_inputs\subsamples\subsample_n10_rep02.csv
subsample,10,3,0,figure1_inputs\subsamples\subsample_n10_rep03.csv
subsample,10,4,0,figure1_inputs\subsamples\subsample_n10_rep04.csv
subsample,10,5,0,figure1_inputs\subsamples\subsample_n10_rep05.csv
subsample,10,6,0,figure1_inputs\subsamples\subsample_n10_rep06.csv
subsample,10,7,0,figure1_inputs\subsamples\subsample_n10_rep07.csv
subsample,10,8,0,figure1_inputs\subsamples\subsample_n10_rep08.csv
subsample,10,9,0,figure1_inputs\subsamples\subsample_n10_rep09.csv
subsample,10,10,0,figure1_inputs\subsamples\subsample_n10_rep10.csv
subsample,10,11,0,figure1_inputs\subsamples\subsample_n10_rep11.csv
subsample,10,12,0,figure1_inputs\subsamples\subsample_n10_rep12.csv
subsample,10,13,0,figure1_inputs\subsamples\subsample_n10_rep13.csv
subsample,10,14,0,figure1_inputs\subsamples\subsample_n10_rep14.csv
subsample,10,15,0,figure1_inputs\subsamples\subsample_n10_rep15.csv
subsample,10,16,0,figure1_inputs\subsamples\subsample_n10_rep16.csv
subsample,10,17,0,figure1_inputs\subsamples\subsample_n10_rep17.csv
subsample,10,18,0,figure1_inputs\subsamples\subsample_n10_rep18.csv
subsample,10,19,0,figure1_inputs\subsamples\subsample_n10_rep19.csv
subsample,10,20,0,figure1_inputs\subsamples\subsample_n10_rep20.csv
subsample,20,1,0,figure1_inputs\subsamples\subsample_n20_rep01.csv
subsample,20,2,0,figure1_inputs\subsamples\subsample_n20_rep02.csv
subsample,20,3,0,figure1_inputs\subsamples\subsample_n20_rep03.csv
subsample,20,4,0,figure1_inputs\subsamples\subsample_n20_rep04.csv
subsample,20,5,0,figure1_inputs\subsamples\subsample_n20_rep05.csv
subsample,20,6,0,figure1_inputs\subsamples\subsample_n20_rep06.csv
subsample,20,7,0,figure1_inputs\subsamples\subsample_n20_rep07.csv
subsample,20,8,0,figure1_inputs\subsamples\subsample_n20_rep08.csv
subsample,20,9,0,figure1_inputs\subsamples\subsample_n20_rep09.csv
subsample,20,10,0,figure1_inputs\subsamples\subsample_n20_rep10.csv
subsample,20,11,0,figure1_inputs\subsamples\subsample_n20_rep11.csv
subsample,20,12,0,figure1_inputs\subsamples\subsample_n20_rep12.csv
subsample,20,13,0,figure1_inputs\subsamples\subsample_n20_rep13.csv
subsample,20,14,0,figure1_inputs\subsamples\subsample_n20_rep14.csv
subsample,20,15,0,figure1_inputs\subsamples\subsample_n20_rep15.csv
subsample,20,16,0,figure1_inputs\subsamples\subsample_n20_rep16.csv
subsample,20,17,0,figure1_inputs\subsamples\subsample_n20_rep17.csv
subsample,20,18,0,figure1_inputs\subsamples\subsample_n20_rep18.csv
subsample,20,19,0,figure1_inputs\subsamples\subsample_n20_rep19.csv
subsample,20,20,0,figure1_inputs\subsamples\subsample_n20_rep20.csv
swap,45,1,0,figure1_inputs\swaps\swap0_rep01.csv
swap,45,1,1,figure1_inputs\swaps\swap1_rep01.csv
swap,45,2,1,figure1_inputs\swaps\swap1_rep02.csv
swap,45,3,1,figure1_inputs\swaps\swap1_rep03.csv
swap,45,4,1,figure1_inputs\swaps\swap1_rep04.csv
swap,45,5,1,figure1_inputs\swaps\swap1_rep05.csv
swap,45,6,1,figure1_inputs\swaps\swap1_rep06.csv
swap,45,7,1,figure1_inputs\swaps\swap1_rep07.csv
swap,45,8,1,figure1_inputs\swaps\swap1_rep08.csv
swap,45,9,1,figure1_inputs\swaps\swap1_rep09.csv
swap,45,10,1,figure1_inputs\swaps\swap1_rep10.csv
swap,45,11,1,figure1_inputs\swaps\swap1_rep11.csv
swap,45,12,1,figure1_inputs\swaps\swap1_rep12.csv
swap,45,13,1,figure1_inputs\swaps\swap1_rep13.csv
swap,45,14,1,figure1_inputs\swaps\swap1_rep14.csv
swap,45,15,1,figure1_inputs\swaps\swap1_rep15.csv
swap,45,16,1,figure1_inputs\swaps\swap1_rep16.csv
swap,45,17,1,figure1_inputs\swaps\swap1_rep17.csv
swap,45,18,1,figure1_inputs\swaps\swap1_rep18.csv
swap,45,19,1,figure1_inputs\swaps\swap1_rep19.csv
swap,45,20,1,figure1_inputs\swaps\swap1_rep20.csv
swap,45,1,2,figure1_inputs\swaps\swap2_rep01.csv
swap,45,2,2,figure1_inputs\swaps\swap2_rep02.csv
swap,45,3,2,figure1_inputs\swaps\swap2_rep03.csv
swap,45,4,2,figure1_inputs\swaps\swap2_rep04.csv
swap,45,5,2,figure1_inputs\swaps\swap2_rep05.csv
swap,45,6,2,figure1_inputs\swaps\swap2_rep06.csv
swap,45,7,2,figure1_inputs\swaps\swap2_rep07.csv
swap,45,8,2,figure1_inputs\swaps\swap2_rep08.csv
swap,45,9,2,figure1_inputs\swaps\swap2_rep09.csv
swap,45,10,2,figure1_inputs\swaps\swap2_rep10.csv
swap,45,11,2,figure1_inputs\swaps\swap2_rep11.csv
swap,45,12,2,figure1_inputs\swaps\swap2_rep12.csv
swap,45,13,2,figure1_inputs\swaps\swap2_rep13.csv
swap,45,14,2,figure1_inputs\swaps\swap2_rep14.csv
swap,45,15,2,figure1_inputs\swaps\swap2_rep15.csv
swap,45,16,2,figure1_inputs\swaps\swap2_rep16.csv
swap,45,17,2,figure1_inputs\swaps\swap2_rep17.csv
swap,45,18,2,figure1_inputs\swaps\swap2_rep18.csv
swap,45,19,2,figure1_inputs\swaps\swap2_rep19.csv
swap,45,20,2,figure1_inputs\swaps\swap2_rep20.csv
swap,45,1,3,figure1_inputs\swaps\swap3_rep01.csv
swap,45,2,3,figure1_inputs\swaps\swap3_rep02.csv
swap,45,3,3,figure1_inputs\swaps\swap3_rep03.csv
swap,45,4,3,figure1_inputs\swaps\swap3_rep04.csv
swap,45,5,3,figure1_inputs\swaps\swap3_rep05.csv
swap,45,6,3,figure1_inputs\swaps\swap3_rep06.csv
swap,45,7,3,figure1_inputs\swaps\swap3_rep07.csv
swap,45,8,3,figure1_inputs\swaps\swap3_rep08.csv
swap,45,9,3,figure1_inputs\swaps\swap3_rep09.csv
swap,45,10,3,figure1_inputs\swaps\swap3_rep10.csv
swap,45,11,3,figure1_inputs\swaps\swap3_rep11.csv
swap,45,12,3,figure1_inputs\swaps\swap3_rep12.csv
swap,45,13,3,figure1_inputs\swaps\swap3_rep13.csv
swap,45,14,3,figure1_inputs\swaps\swap3_rep14.csv
swap,45,15,3,figure1_inputs\swaps\swap3_rep15.csv
swap,45,16,3,figure1_inputs\swaps\swap3_rep16.csv
swap,45,17,3,figure1_inputs\swaps\swap3_rep17.csv
swap,45,18,3,figure1_inputs\swaps\swap3_rep18.csv
swap,45,19,3,figure1_inputs\swaps\swap3_rep19.csv
swap,45,20,3,figure1_inputs\swaps\swap3_rep20.csv
swap,45,1,4,figure1_inputs\swaps\swap4_rep01.csv
swap,45,2,4,figure1_inputs\swaps\swap4_rep02.csv
swap,45,3,4,figure1_inputs\swaps\swap4_rep03.csv
swap,45,4,4,figure1_inputs\swaps\swap4_rep04.csv
swap,45,5,4,figure1_inputs\swaps\swap4_rep05.csv
swap,45,6,4,figure1_inputs\swaps\swap4_rep06.csv
swap,45,7,4,figure1_inputs\swaps\swap4_rep07.csv
swap,45,8,4,figure1_inputs\swaps\swap4_rep08.csv
swap,45,9,4,figure1_inputs\swaps\swap4_rep09.csv
swap,45,10,4,figure1_inputs\swaps\swap4_rep10.csv
swap,45,11,4,figure1_inputs\swaps\swap4_rep11.csv
swap,45,12,4,figure1_inputs\swaps\swap4_rep12.csv
swap,45,13,4,figure1_inputs\swaps\swap4_rep13.csv
swap,45,14,4,figure1_inputs\swaps\swap4_rep14.csv
swap,45,15,4,figure1_inputs\swaps\swap4_rep15.csv
swap,45,16,4,figure1_inputs\swaps\swap4_rep16.csv
swap,45,17,4,figure1_inputs\swaps\swap4_rep17.csv
swap,45,18,4,figure1_inputs\swaps\swap4_rep18.csv
swap,45,19,4,figure1_inputs\swaps\swap4_rep19.csv
swap,45,20,4,figure1_inputs\swaps\swap4_rep20.csv
swap,45,1,5,figure1_inputs\swaps\swap5_rep01.csv
swap,45,2,5,figure1_inputs\swaps\swap5_rep02.csv
swap,45,3,5,figure1_inputs\swaps\swap5_rep03.csv
swap,45,4,5,figure1_inputs\swaps\swap5_rep04.csv
swap,45,5,5,figure1_inputs\swaps\swap5_rep05.csv
swap,45,6,5,figure1_inputs\swaps\swap5_rep06.csv
swap,45,7,5,figure1_inputs\swaps\swap5_rep07.csv
swap,45,8,5,figure1_inputs\swaps\swap5_rep08.csv
swap,45,9,5,figure1_inputs\swaps\swap5_rep09.csv
swap,45,10,5,figure1_inputs\swaps\swap5_rep10.csv
swap,45,11,5,figure1_inputs\swaps\swap5_rep11.csv
swap,45,12,5,figure1_inputs\swaps\swap5_rep12.csv
swap,45,13,5,figure1_inputs\swaps\swap5_rep13.csv
swap,45,14,5,figure1_inputs\swaps\swap5_rep14.csv
swap,45,15,5,figure1_inputs\swaps\swap5_rep15.csv
swap,45,16,5,figure1_inputs\swaps\swap5_rep16.csv
swap,45,17,5,figure1_inputs\swaps\swap5_rep17.csv
swap,45,18,5,figure1_inputs\swaps\swap5_rep18.csv
swap,45,19,5,figure1_inputs\swaps\swap5_rep19.csv
swap,45,20,5,figure1_inputs\swaps\swap5_rep20.csv
